# t (s)	mx ()	my ()	mz ()	E_total (J)
5.050011212911662e-08	1.8681636e-06	0.050300688	-3.0355561e-06	-1.2493424e-16
5.0750068559130065e-08	-1.5167379e-06	0.050300673	-3.0755455e-06	-1.2493422e-16
5.1000028241929414e-08	-1.5286383e-06	0.05030068	-1.3998422e-06	-1.2493421e-16
5.12500573388038e-08	1.7380306e-06	0.050300695	-1.3492865e-06	-1.2493422e-16
5.150002238868971e-08	3.3361748e-06	0.050300676	-3.7756834e-06	-1.2493425e-16
5.175001186481898e-08	7.248218e-07	0.05030068	-5.7105044e-06	-1.2493425e-16
5.2000056155886257e-08	-2.350547e-06	0.050300684	-4.813021e-06	-1.2493424e-16
5.225001029826695e-08	-1.4779196e-06	0.050300688	-2.8112802e-06	-1.2493422e-16
5.250001659013781e-08	1.8711024e-06	0.050300695	-2.9309228e-06	-1.2493421e-16
5.2750037474508335e-08	2.503453e-06	0.05030069	-5.087094e-06	-1.2493424e-16
5.3000158524689036e-08	-6.771109e-07	0.05030068	-5.995631e-06	-1.2493417e-16
5.325011582639687e-08	-3.1285153e-06	0.05030069	-4.0932136e-06	-1.2493424e-16
5.3500058718113336e-08	-1.4099445e-06	0.05030071	-1.8228184e-06	-1.2493421e-16
5.3750041395825125e-08	1.8409335e-06	0.050300688	-2.0543011e-06	-1.2493428e-16
5.4000083583234234e-08	1.5470317e-06	0.050300688	-3.794215e-06	-1.2493421e-16
5.425014363321826e-08	-1.9007765e-06	0.050300695	-3.6874685e-06	-1.249342e-16
5.4500154481938613e-08	-3.4958234e-06	0.050300695	-1.0385296e-06	-1.2493418e-16
5.475003232384226e-08	-9.853223e-07	0.050300695	1.152537e-06	-1.2493424e-16
5.500004492483795e-08	1.952479e-06	0.050300688	6.0341574e-07	-1.2493422e-16
5.5250154198460817e-08	7.948648e-07	0.050300688	-8.473613e-07	-1.2493418e-16
5.5500088640752825e-08	-2.6112084e-06	0.050300706	-2.7093021e-08	-1.2493418e-16
5.575002729170715e-08	-3.212147e-06	0.050300706	2.8432498e-06	-1.2493421e-16
5.600009289568937e-08	-7.048768e-08	0.050300695	4.444231e-06	-1.2493424e-16
5.6250121390601924e-08	2.3306943e-06	0.05030071	3.2692606e-06	-1.2493416e-16
5.650007737700064e-08	4.0117408e-07	0.05030071	1.857064e-06	-1.2493418e-16
5.675003544469096e-08	-2.7307585e-06	0.050300706	2.9893356e-06	-1.2493416e-16
5.7000048715222864e-08	-2.31352e-06	0.05030072	5.533912e-06	-1.249342e-16
5.725011871122276e-08	1.2355649e-06	0.050300706	6.1052497e-06	-1.2493413e-16
5.750003092414983e-08	2.8310326e-06	0.050300706	4.106218e-06	-1.249341e-16
5.775001794739237e-08	2.4899236e-07	0.050300714	2.602989e-06	-1.2493414e-16
5.80000067891527e-08	-2.430438e-06	0.050300702	3.7660382e-06	-1.2493417e-16
5.8250070738829377e-08	-1.0828428e-06	0.050300702	5.630905e-06	-1.2493412e-16
5.850015007813592e-08	2.5239563e-06	0.050300706	5.0269473e-06	-1.2493408e-16
5.8750139527012526e-08	3.1179284e-06	0.050300695	2.3159114e-06	-1.2493413e-16
5.900007908250706e-08	1.8753028e-08	0.0503007	8.6415895e-07	-1.2493412e-16
