,t,mx,my,mz,E_total
112,1.1200054564744696e-08,0.09760112,1.0056764e-06,-3.3380275e-07,-1.8453092000000002e-16
113,1.1300044277209809e-08,0.09760117,9.78136e-07,4.2127255e-07,-1.8453079000000002e-16
114,1.1400137386137176e-08,0.09760124,6.5464866e-07,1.0533612e-06,-1.8453083e-16
115,1.1500145921056517e-08,0.09760131,9.043079e-08,1.3132427e-06,-1.8453104000000002e-16
116,1.1600082975798032e-08,0.097601265,-5.21317e-07,1.1349197e-06,-1.8453105000000002e-16
117,1.1700160333106051e-08,0.09760131,-9.651376e-07,5.1302135e-07,-1.845309e-16
118,1.1800044511018721e-08,0.09760142,-1.0130441e-06,-2.7599174e-07,-1.845311e-16
119,1.1900156350688884e-08,0.09760148,-6.3714276e-07,-9.680906e-07,-1.8453105000000002e-16
120,1.2000140530327788e-08,0.09760136,-5.950876e-08,-1.2539421e-06,-1.8453114e-16
121,1.2100058579223574e-08,0.09760117,5.558371e-07,-1.0842701e-06,-1.8453097e-16
122,1.2200160330204078e-08,0.09760121,9.358651e-07,-5.076686e-07,-1.8453097e-16
123,1.230005622719398e-08,0.09760118,1.0364587e-06,2.406815e-07,-1.8453092000000002e-16
124,1.2400014773783248e-08,0.09760114,7.629542e-07,9.2707535e-07,-1.8453104000000002e-16
125,1.2500093703252866e-08,0.09760116,2.1602536e-07,1.30574e-06,-1.8453084e-16
126,1.2600025728039314e-08,0.097601265,-4.348746e-07,1.1989447e-06,-1.8453104000000002e-16
127,1.270008900531608e-08,0.09760134,-8.899158e-07,6.7311146e-07,-1.8453075000000003e-16
128,1.2800036811208892e-08,0.097601324,-1.0547527e-06,-1.2679618e-07,-1.8453073e-16
129,1.2900055454004089e-08,0.09760136,-7.5965784e-07,-8.350217e-07,-1.845309e-16
130,1.3000120708870534e-08,0.0976013,-2.0143777e-07,-1.2400575e-06,-1.8453084e-16
131,1.3100097926201429e-08,0.0976013,4.060976e-07,-1.14917e-06,-1.8453076000000002e-16
132,1.3200007949937377e-08,0.097601205,8.743489e-07,-6.7695424e-07,-1.8453065000000002e-16
133,1.3300043318010666e-08,0.097601235,1.0267771e-06,7.188858e-08,-1.8453079000000002e-16
134,1.3400066837790169e-08,0.09760129,8.436266e-07,7.878115e-07,-1.845308e-16
135,1.3500041155286484e-08,0.097601265,3.3760253e-07,1.2465562e-06,-1.8453083e-16
136,1.3600064977396494e-08,0.097601205,-2.6431664e-07,1.263258e-06,-1.8453105000000002e-16
137,1.370004059247907e-08,0.09760128,-8.3808754e-07,8.149938e-07,-1.8453085e-16
138,1.3800121515164626e-08,0.09760138,-1.0326677e-06,7.018934e-08,-1.845309e-16
139,1.3900068565021853e-08,0.09760134,-8.6102773e-07,-6.9919105e-07,-1.845309e-16
140,1.400012711202261e-08,0.09760134,-3.2983084e-07,-1.1680804e-06,-1.8453085e-16
141,1.4100094551684054e-08,0.09760137,2.722314e-07,-1.2239642e-06,-1.8453105000000002e-16
142,1.420016408663074e-08,0.09760129,7.813757e-07,-8.0554514e-07,-1.8453096000000001e-16
143,1.4300079188650473e-08,0.09760118,1.0462753e-06,-1.2478452e-07,-1.8453084e-16
144,1.4400168193566033e-08,0.09760114,9.300894e-07,6.507087e-07,-1.8453087e-16
145,1.4500075220712242e-08,0.09760115,5.0300184e-07,1.18304e-06,-1.8453083e-16
146,1.4600160636160272e-08,0.097601175,-1.5398868e-07,1.314719e-06,-1.8453075000000003e-16
147,1.4700086047138557e-08,0.09760121,-7.131787e-07,9.444957e-07,-1.8453096000000001e-16
148,1.4800156699641352e-08,0.097601354,-1.0161857e-06,2.3691682e-07,-1.8453085e-16
149,1.4900164628110966e-08,0.09760144,-9.016897e-07,-5.464163e-07,-1.8453084e-16
150,1.500011269600832e-08,0.09760146,-4.6415605e-07,-1.1116241e-06,-1.8453092000000002e-16
151,1.510002135810163e-08,0.09760139,1.6625971e-07,-1.2376337e-06,-1.8453097e-16
152,1.5200116994862164e-08,0.09760133,6.959235e-07,-9.3776373e-07,-1.845309e-16
153,1.530016936780739e-08,0.097601354,1.0238291e-06,-2.6398698e-07,-1.845307e-16
154,1.5400131880197405e-08,0.097601295,9.907916e-07,4.8800246e-07,-1.8453101e-16
155,1.5500115875265313e-08,0.097601116,6.0157606e-07,1.1199738e-06,-1.8453075000000003e-16
156,1.5600020995653775e-08,0.09760117,1.3017349e-09,1.315854e-06,-1.8453085e-16
157,1.5700039693777024e-08,0.09760127,-6.1543255e-07,1.0661123e-06,-1.8453079000000002e-16
158,1.5800113797853214e-08,0.09760121,-9.773225e-07,4.087727e-07,-1.8453089000000002e-16
159,1.5900002172198546e-08,0.09760117,-9.827992e-07,-3.706918e-07,-1.8453105000000002e-16
160,1.6000058962524738e-08,0.09760129,-5.670509e-07,-9.987035e-07,-1.8453105000000002e-16
161,1.6100043307987826e-08,0.09760139,-1.5773958e-08,-1.2472905e-06,-1.8453106000000002e-16
162,1.6200107895006905e-08,0.097601354,5.7746274e-07,-1.0311878e-06,-1.8453085e-16
163,1.6300111869960213e-08,0.09760133,9.5293507e-07,-4.5286998e-07,-1.8453072e-16
164,1.6400029704155817e-08,0.097601324,1.0420613e-06,3.3739278e-07,-1.8453083e-16
165,1.650001668771779e-08,0.097601384,7.243893e-07,9.990827e-07,-1.8453077000000002e-16
166,1.6600031000953666e-08,0.097601205,1.1750963e-07,1.3426189e-06,-1.8453083e-16
167,1.670007059562826e-08,0.09760118,-5.102088e-07,1.1606364e-06,-1.8453073e-16
168,1.6800040672012506e-08,0.097601295,-9.448523e-07,5.9639126e-07,-1.8453098e-16
169,1.6900018838053807e-08,0.097601324,-1.0057485e-06,-2.0268924e-07,-1.8453087e-16
170,1.7000099538174263e-08,0.097601265,-7.143716e-07,-8.788212e-07,-1.8453088000000003e-16
171,1.7100033466005104e-08,0.09760125,-1.4767517e-07,-1.2321838e-06,-1.8453067000000002e-16
172,1.720007602904736e-08,0.09760146,4.533199e-07,-1.1254056e-06,-1.8453081000000001e-16
173,1.7300096138126136e-08,0.097601414,9.28877e-07,-5.994064e-07,-1.8453073e-16
174,1.740002908667565e-08,0.09760124,1.0501749e-06,1.5890289e-07,-1.8453064000000002e-16
175,1.750000292994847e-08,0.09760115,8.35255e-07,8.990076e-07,-1.8453083e-16
176,1.7600010625078292e-08,0.09760119,2.611529e-07,1.3001531e-06,-1.8453084e-16
177,1.770009754176996e-08,0.09760126,-3.6970744e-07,1.2496412e-06,-1.8453089000000002e-16
178,1.7800029443506848e-08,0.09760116,-8.6091745e-07,7.2605127e-07,-1.8453083e-16
179,1.7900132648981183e-08,0.09760119,-1.0088468e-06,-9.858261e-09,-1.8453084e-16
180,1.800001742742893e-08,0.09760125,-7.744884e-07,-7.5100075e-07,-1.8453095000000001e-16
181,1.8100083504339252e-08,0.097601384,-2.772596e-07,-1.178263e-06,-1.8453102000000003e-16
182,1.8200159505345443e-08,0.0976014,3.3503198e-07,-1.1882067e-06,-1.845307e-16
183,1.8300120033979372e-08,0.09760139,8.166487e-07,-7.488526e-07,-1.8453073e-16
184,1.8400099963792767e-08,0.097601436,1.08916e-06,-2.4710529e-08,-1.8453067000000002e-16
185,1.850009348602892e-08,0.09760133,9.1307396e-07,7.3918204e-07,-1.845307e-16
186,1.8600106990029683e-08,0.09760127,4.2068413e-07,1.2489957e-06,-1.8453079000000002e-16
187,1.870004550431112e-08,0.097601205,-2.4544838e-07,1.2861086e-06,-1.8453073e-16
188,1.8800064839857748e-08,0.09760125,-7.592708e-07,8.828904e-07,-1.845306e-16
189,1.8900159841505017e-08,0.09760114,-9.97611e-07,1.5049812e-07,-1.845307e-16
190,1.900003090119552e-08,0.097601004,-8.801392e-07,-5.886903e-07,-1.8453081000000001e-16
191,1.910013649853132e-08,0.09760115,-4.2442784e-07,-1.137848e-06,-1.8453073e-16
192,1.9200106937478464e-08,0.09760137,1.6932026e-07,-1.2370353e-06,-1.8453077000000002e-16
193,1.9300095365295328e-08,0.0976014,7.5248533e-07,-9.0900954e-07,-1.8453068000000001e-16
194,1.94000849523335e-08,0.09760131,1.055043e-06,-2.0188322e-07,-1.8453063000000002e-16
195,1.9500076549983985e-08,0.09760136,9.904059e-07,5.838095e-07,-1.8453075000000003e-16
196,1.960010938958716e-08,0.097601384,5.2548995e-07,1.1724374e-06,-1.8453088000000003e-16
197,1.970011975741406e-08,0.097601354,-1.02050095e-07,1.3260204e-06,-1.8453083e-16
198,1.980015984134216e-08,0.097601324,-6.958003e-07,9.895438e-07,-1.8453075000000003e-16
199,1.990009769965048e-08,0.0976012,-9.818568e-07,3.2960057e-07,-1.8453087e-16
200,2.0000137595391252e-08,0.097601205,-9.4306296e-07,-4.487491e-07,-1.8453081000000001e-16
201,2.0100076154913613e-08,0.097601146,-5.5024964e-07,-1.0311862e-06,-1.8453064000000002e-16
202,2.0200093903846665e-08,0.09760125,3.5527417e-08,-1.2669564e-06,-1.8453057e-16
203,2.0300077945568483e-08,0.0976014,6.1424925e-07,-1.0042883e-06,-1.8453046e-16
204,2.0400038650974863e-08,0.09760134,1.0144196e-06,-3.9324334e-07,-1.8453064000000002e-16
205,2.0500102395098973e-08,0.09760119,1.0352063e-06,4.1597588e-07,-1.8453073e-16
206,2.060015635381745e-08,0.09760129,6.716107e-07,1.0627883e-06,-1.8453073e-16
207,2.07000919831828e-08,0.097601436,1.5382803e-08,1.3231837e-06,-1.8453064000000002e-16
208,2.0800027488375483e-08,0.09760134,-5.438951e-07,1.0962109e-06,-1.8453077000000002e-16
209,2.0900047567181117e-08,0.097601175,-9.1813206e-07,4.992907e-07,-1.8453052000000002e-16
210,2.100004453739062e-08,0.09760112,-9.529041e-07,-2.513212e-07,-1.845305e-16
211,2.110015104493538e-08,0.09760121,-6.8479915e-07,-9.296991e-07,-1.8453063000000002e-16
212,2.1200010879268984e-08,0.097601265,-1.1291302e-07,-1.2441617e-06,-1.8453046e-16
213,2.1300065974987134e-08,0.09760134,5.1666643e-07,-1.131075e-06,-1.8453047000000003e-16
214,2.1400159655657563e-08,0.09760135,9.764993e-07,-5.486938e-07,-1.8453057e-16
215,2.1500104454152124e-08,0.09760137,1.0791564e-06,2.1943801e-07,-1.845307e-16
216,2.1600038924759735e-08,0.09760139,7.723672e-07,9.5058147e-07,-1.8453084e-16
217,2.1700061340409732e-08,0.09760135,2.1313984e-07,1.2957453e-06,-1.8453073e-16
218,2.1800050935230715e-08,0.09760138,-4.388485e-07,1.1931932e-06,-1.8453064000000002e-16
219,2.190001178682342e-08,0.09760136,-8.6120764e-07,6.5094156e-07,-1.8453059e-16
220,2.2000154146963592e-08,0.09760115,-9.980469e-07,-9.5223285e-08,-1.845304e-16
221,2.2100034677711985e-08,0.097601086,-7.423315e-07,-7.9869335e-07,-1.8453019000000003e-16
222,2.2200015516258563e-08,0.09760129,-2.651796e-07,-1.2262242e-06,-1.8453044e-16
223,2.2300159103693478e-08,0.09760133,3.848884e-07,-1.1856613e-06,-1.8453048000000002e-16
224,2.2400113103211175e-08,0.09760119,8.7971193e-07,-7.200036e-07,-1.8453047000000003e-16
225,2.2500124187954953e-08,0.09760118,1.0923844e-06,5.965756e-08,-1.8453055e-16
226,2.2600168725464113e-08,0.09760135,8.6128915e-07,7.9211736e-07,-1.8453063000000002e-16
227,2.2700025562149724e-08,0.09760153,3.050599e-07,1.2603741e-06,-1.8453068000000001e-16
228,2.2800125712344858e-08,0.09760146,-3.0767828e-07,1.2239757e-06,-1.845305e-16
229,2.2900108419051083e-08,0.09760135,-7.869078e-07,7.96255e-07,-1.8453048000000002e-16
