# t (s)	mx ()	my ()	mz ()	E_total (J)
4.800023471478366e-08	3.0888896e-06	0.0495769	3.3524037e-05	-1.4260772e-16
4.825007868438298e-08	5.139369e-06	0.049576897	3.162578e-05	-1.4260771e-16
4.8500290500848296e-08	7.1370528e-06	0.049576882	2.8904677e-05	-1.4260772e-16
4.875014097624505e-08	9.035701e-06	0.04957688	2.5407226e-05	-1.4260772e-16
4.900022399337102e-08	1.0619306e-05	0.049576897	2.0998716e-05	-1.4260768e-16
4.9250296886785986e-08	1.1805929e-05	0.049576882	1.5977024e-05	-1.4260767e-16
4.950014632964622e-08	1.2510292e-05	0.049576864	1.0659993e-05	-1.4260767e-16
4.975014689762907e-08	1.2813548e-05	0.0495769	5.029142e-06	-1.4260768e-16
5.0000190086681115e-08	1.2621982e-05	0.049576875	-6.818771e-07	-1.4260766e-16
5.025028432323037e-08	1.2146775e-05	0.049576864	-6.1142446e-06	-1.4260766e-16
5.050014761498405e-08	1.1376305e-05	0.049576882	-1.1290312e-05	-1.4260764e-16
5.07501214123523e-08	1.0429394e-05	0.049576882	-1.6196966e-05	-1.4260766e-16
5.1000121444053246e-08	9.415375e-06	0.049576875	-2.0570307e-05	-1.4260762e-16
5.125027688415554e-08	8.363137e-06	0.04957688	-2.4442821e-05	-1.426076e-16
5.150025122005865e-08	7.2794355e-06	0.049576897	-2.7968288e-05	-1.4260762e-16
5.175015374576194e-08	6.0213733e-06	0.04957689	-3.094733e-05	-1.4260763e-16
5.2000294862823643e-08	4.6624427e-06	0.049576893	-3.322959e-05	-1.4260763e-16
5.225023011552148e-08	3.063078e-06	0.049576923	-3.496468e-05	-1.4260766e-16
5.2500128261418344e-08	1.2089519e-06	0.049576912	-3.5985708e-05	-1.4260763e-16
5.275013006354899e-08	-9.393098e-07	0.0495769	-3.5985708e-05	-1.4260757e-16
5.300001089797838e-08	-3.218815e-06	0.049576893	-3.5043955e-05	-1.4260762e-16
5.325025466482899e-08	-5.5849446e-06	0.049576897	-3.3172964e-05	-1.4260759e-16
5.3500283218857184e-08	-7.875773e-06	0.04957688	-3.0149817e-05	-1.4260759e-16
5.375017363207922e-08	-9.83279e-06	0.04957688	-2.6152284e-05	-1.426076e-16
5.4000067073450567e-08	-1.1407757e-05	0.049576897	-2.1514892e-05	-1.4260759e-16
5.4250248060517565e-08	-1.24874e-05	0.049576867	-1.620978e-05	-1.4260759e-16
5.450015530508126e-08	-1.3002847e-05	0.049576882	-1.0459125e-05	-1.4260755e-16
5.475022876913567e-08	-1.296899e-05	0.049576882	-4.737973e-06	-1.4260757e-16
5.5000251002156764e-08	-1.2647332e-05	0.049576882	8.8959933e-07	-1.4260759e-16
5.52500690681463e-08	-1.2013721e-05	0.049576875	6.44207e-06	-1.4260751e-16
5.550012647188389e-08	-1.1202987e-05	0.04957688	1.1596978e-05	-1.4260758e-16
5.575015037327655e-08	-1.0402685e-05	0.04957689	1.6292333e-05	-1.4260757e-16
5.600010097239976e-08	-9.618904e-06	0.049576867	2.0789206e-05	-1.4260758e-16
5.6250007337628454e-08	-8.775798e-06	0.04957689	2.490893e-05	-1.4260758e-16
5.650006483122768e-08	-7.828382e-06	0.049576882	2.8506816e-05	-1.4260757e-16
5.675025769418897e-08	-6.7501933e-06	0.049576875	3.1763317e-05	-1.4260758e-16
5.700010929279359e-08	-5.328206e-06	0.0495769	3.4524648e-05	-1.4260755e-16
5.7250056694473166e-08	-3.5860803e-06	0.049576927	3.644645e-05	-1.4260758e-16
5.75000936729287e-08	-1.4830398e-06	0.049576912	3.755465e-05	-1.4260759e-16
5.7750203844936375e-08	9.568903e-07	0.049576893	3.777221e-05	-1.4260751e-16
5.800025636446608e-08	3.6042213e-06	0.049576923	3.673658e-05	-1.4260758e-16
5.8250064642452305e-08	6.2389277e-06	0.0495769	3.4481585e-05	-1.4260754e-16
5.850005947467719e-08	8.646555e-06	0.049576864	3.1252206e-05	-1.4260755e-16
5.875000944949179e-08	1.0697716e-05	0.049576882	2.6990176e-05	-1.4260755e-16
5.90002191848422e-08	1.220332e-05	0.049576875	2.1825434e-05	-1.4260757e-16
5.9250281774688947e-08	1.3051743e-05	0.049576882	1.62448e-05	-1.4260757e-16
5.950001878241589e-08	1.330975e-05	0.049576867	1.0456741e-05	-1.4260753e-16
5.975007214061571e-08	1.3135444e-05	0.049576875	4.5073034e-06	-1.4260757e-16
6.000021356225634e-08	1.2620963e-05	0.049576875	-1.2180209e-06	-1.4260758e-16
6.025002433270068e-08	1.19450015e-05	0.049576864	-6.5585973e-06	-1.4260751e-16
6.050024115741115e-08	1.1247133e-05	0.049576893	-1.1740476e-05	-1.4260759e-16
6.075029065503519e-08	1.0582673e-05	0.049576875	-1.6622245e-05	-1.4260759e-16
6.100022921692101e-08	9.980198e-06	0.04957688	-2.1092594e-05	-1.4260754e-16
6.125022843592413e-08	9.382296e-06	0.049576882	-2.5366544e-05	-1.4260757e-16
6.150011826549788e-08	8.598604e-06	0.049576893	-2.9444695e-05	-1.4260757e-16
6.175005831649898e-08	7.5041776e-06	0.049576882	-3.2961965e-05	-1.4260759e-16
6.200000398899343e-08	6.0263537e-06	0.049576897	-3.5907626e-05	-1.4260759e-16
6.22501426740725e-08	4.0694927e-06	0.049576923	-3.8241746e-05	-1.4260758e-16
6.250018077092701e-08	1.6432396e-06	0.049576893	-3.9505958e-05	-1.4260751e-16
6.275010953998752e-08	-1.1286896e-06	0.049576923	-3.9541723e-05	-1.4260754e-16
6.300012640059873e-08	-4.082116e-06	0.049576923	-3.844589e-05	-1.4260758e-16
6.325000380802659e-08	-6.941023e-06	0.049576893	-3.6038757e-05	-1.4260755e-16
6.350020153600878e-08	-9.445668e-06	0.049576864	-3.2311975e-05	-1.4260751e-16
6.375015496650051e-08	-1.1445596e-05	0.04957688	-2.7686507e-05	-1.4260758e-16
6.400022298131771e-08	-1.2817577e-05	0.049576893	-2.2363813e-05	-1.4260757e-16
6.425015567493256e-08	-1.3509246e-05	0.049576856	-1.6441494e-05	-1.4260753e-16
6.450005360064816e-08	-1.3546385e-05	0.049576875	-1.0402203e-05	-1.4260753e-16
6.475003700475194e-08	-1.3187776e-05	0.04957688	-4.56363e-06	-1.4260755e-16
6.500026861595142e-08	-1.26098785e-05	0.04957688	1.1879206e-06	-1.4260751e-16
6.525017430892311e-08	-1.1953192e-05	0.049576875	6.6934526e-06	-1.4260753e-16
