# t (s)	mx ()	my ()	mz ()	E_total (J)
2.8875007254470734e-07	0.0017709952	0.04254725	-0.0035969815	-1.2477212e-16
2.890000548611828e-07	-0.002111991	0.043530066	-0.0009088399	-1.2477228e-16
2.8925002107739027e-07	-0.0018930684	0.046049852	0.0026190348	-1.2477247e-16
2.8950014244610814e-07	0.0020755746	0.047069356	0.0028186347	-1.2477263e-16
2.897500265791841e-07	0.0052434546	0.04564605	0.0004479054	-1.247728e-16
2.900000503947516e-07	0.004316153	0.044049416	-0.0028226248	-1.2477296e-16
2.902501251852358e-07	-0.00086414185	0.042233802	-0.0036583657	-1.2477306e-16
2.905001417797526e-07	-0.0041977135	0.04145573	0.00018948533	-1.2477325e-16
2.9075001392692946e-07	-0.0011738851	0.04223144	0.0036849421	-1.2477338e-16
2.9100016462753025e-07	0.003699454	0.04093385	0.001269873	-1.2477342e-16
2.9125010582487057e-07	0.003995214	0.038476266	-0.003086759	-1.2477351e-16
2.9150000933910606e-07	0.00052159047	0.038137287	-0.0036632426	-1.2477355e-16
2.917500807737683e-07	-0.0010396172	0.038855977	0.0007285677	-1.2477362e-16
2.9200008460667063e-07	0.0015028336	0.039702225	0.00393254	-1.2477362e-16
2.9225012085619943e-07	0.0054938192	0.04166366	0.002510391	-1.2477359e-16
2.9250008385777744e-07	0.0051129274	0.042585246	-0.0019995365	-1.2477359e-16
2.9275005801602075e-07	0.00025227785	0.04167905	-0.0030186286	-1.2477351e-16
2.930000072332091e-07	-0.0024939922	0.0423928	0.00072038063	-1.247734e-16
2.9325004988834007e-07	-0.00018190256	0.044644885	0.003469782	-1.2477334e-16
2.935001240195872e-07	0.0030524721	0.045934897	0.0020345496	-1.2477321e-16
2.937501045672584e-07	0.0033485855	0.046098925	-0.0013220612	-1.2477301e-16
2.9400011573306663e-07	0.00017153761	0.044538517	-0.0034388104	-1.2477277e-16
2.9425010884822393e-07	-0.0033946314	0.042386726	-0.0011302452	-1.2477259e-16
2.945001141533609e-07	-0.002425871	0.04136866	0.0031448712	-1.2477239e-16
2.947500160577535e-07	0.0015937939	0.042078305	0.0025500646	-1.2477225e-16
2.9500008791679255e-07	0.0028226355	0.043533824	-0.0018577101	-1.2477212e-16
2.9525001520402954e-07	-0.00018393842	0.043725062	-0.0049634003	-1.24772e-16
2.9550003869859423e-07	-0.0049243327	0.04240726	-0.0027045384	-1.2477188e-16
2.9575008005185786e-07	-0.0050167297	0.042662747	0.0025649166	-1.2477184e-16
2.960000602980197e-07	-6.3347816e-06	0.04501959	0.0039498024	-1.247718e-16
2.962501359035071e-07	0.0029647097	0.04684936	-0.0004691462	-1.2477173e-16
2.965001539250696e-07	0.0002792523	0.04728979	-0.0038265146	-1.247717e-16
2.96750149193892e-07	-0.0042776912	0.046536684	-0.0019530238	-1.2477173e-16
2.970000537982758e-07	-0.004667444	0.04573117	0.0036685548	-1.2477171e-16
2.972500144563618e-07	0.0011492037	0.044971026	0.00711636	-1.2477169e-16
2.9750007469716033e-07	0.0064323796	0.042916697	0.0031458258	-1.2477169e-16
2.9775006266807245e-07	0.005206357	0.04085382	-0.0037395186	-1.2477165e-16
2.9800001758729893e-07	-0.00012656949	0.040206503	-0.0059635923	-1.2477162e-16
2.982500448546042e-07	-0.004514025	0.039932057	-0.0019321389	-1.2477158e-16
2.985000220265886e-07	-0.0030880526	0.03930166	0.0030557464	-1.247716e-16
2.9875010109543493e-07	0.0017047575	0.03918519	0.0035494461	-1.2477166e-16
2.990001393960824e-07	0.004543598	0.039626922	-0.0009851322	-1.2477173e-16
2.992500128525865e-07	0.002144055	0.040733844	-0.0047733146	-1.2477184e-16
2.995001207816482e-07	-0.0034167503	0.041471917	-0.002623719	-1.2477199e-16
2.997500203866371e-07	-0.0051489077	0.042645793	0.004118928	-1.2477214e-16
3.000001381454205e-07	0.0015420627	0.044614058	0.008087075	-1.2477239e-16
3.002500135855564e-07	0.008998028	0.044913854	0.0019472066	-1.2477261e-16
3.0050002110777774e-07	0.0076807905	0.045055553	-0.006950935	-1.2477282e-16
3.007500493023422e-07	-0.00089979096	0.044908747	-0.008877782	-1.2477302e-16
3.0100012041507655e-07	-0.007004141	0.043461658	-0.0019412949	-1.247732e-16
